Threads, Generation-Gap, Evaluations, Time
2, 16, 417792, 98.007136
2, 16, 282624, 59.157128
2, 16, 188416, 34.600533
2, 16, 622592, 118.947218
2, 16, 278528, 70.517086
2, 16, 393216, 66.367697
2, 16, 143360, 49.842067
2, 16, 307200, 100.164987
2, 16, 565248, 162.705358
2, 16, 532480, 119.622085
2, 16, 163840, 53.820526
2, 16, 131072, 34.321669
2, 16, 315392, 88.389597
2, 16, 282624, 67.620221
2, 16, 499712, 106.25474
2, 32, 417792, 124.469629
2, 32, 458752, 111.177893
2, 32, 1015808, 272.524164
2, 32, 1499136, 447.226831
2, 32, 3743744, 1164.65918
2, 32, 344064, 111.311245
2, 32, 327680, 102.079932
2, 32, 458752, 134.43579
2, 32, 237568, 65.856611
2, 32, 1728512, 534.433232
2, 32, 507904, 161.683692
2, 32, 1105920, 373.569679
2, 32, 761856, 246.018325
2, 32, 1105920, 345.837436
2, 32, 106496, 47.34338
2, 64, 3817472, 1244.989759
2, 64, 917504, 305.823799
2, 64, 2801664, 886.176679
2, 64, 4538368, 1717.458823
2, 64, 2097152, 785.535381
2, 64, 720896, 323.983571
2, 64, 589824, 245.515313
2, 64, 278528, 129.906345
2, 64, 1228800, 499.299687
2, 64, 1097728, 419.410602
